Firstname,Middlename,Lastname,"House no.","Place of birth",Birthday,Age,"Civil status",Gender,"Voter status",email,"Contact Number",Occupation,Citezenship,"Sitio Pook"
GABRIEL,JIMENA,PERALTA,"BLK 44 LOT 17",MANILA,1999-11-30,25,SINGLE,MALE,YES,gabriel.peralta@gmail.com,9694911585,N/A,FILIPINO,"SITIO ILAYA"
RICARDO,GOMEZ,SALAZAR,"BLK 48 LOT. 6","BACOLOD CITY",0169-07-29,55,MARRIED,MALE,YES,salazarricardo@gmail.com,9694911585,EMPLOYEE,FILIPINO,RIDGEVIEW
"SOFIA ALLIAH",MATILLA,MENDOZA,186,"DASMARIÑAS CITY, CAVITE",2004-02-12,20,SINGLE,FEMALE,YES,sofiamendoza@gmail.com,9694911585,STUDENT,FILIPINO,"SITIO POOK"
ROSARIO,QUIRINO,MARTINEZ,579,"NAGA CITY, CAMARINES SUR",1968-05-14,68,MARRIED,FEMALE,YES,r0sarioalvar3z@gmail.com,9694911585,HOUSEWIFE,FILIPINO,"SITIO ILAYA"
PEDRO,LEONES,SALVADOR,124,"BATANGAS CITY",1967-10-27,57,MARRIED,MALE,YES,salvadorramos25@gmail.com,9694911585,DRIVER,FILIPINO,"SITIO POOK"
"ELENA KAYE",MARTINEZ,BUCAL,465,"DASMARIÑAS CITY, CAVITE",1991-09-08,33,SINGLE,FEMALE,YES,bucal.elena@gmail.com,9694911585,N/A,FILIPINO,"SITIO ILAYA"
ALJOHN,VIRAY,PARAON,213,"NAVOTAS CITY",1987-06-21,37,SINGLE,MALE,YES,aljohnviray@gmail.com,9694911585,"SECURITY GUARD",FILIPINO,"SITIO POOK"
"CARL ANDREI",CINCO,RIVERA,589,"SANTA ROSA CITY",1984-04-30,40,Single,Male,Active,dreipogi3000@gmail.com,09694911585,POLICE,FILIPINO,"SITIO ILAYA"
JESSIELYN,MALMIS,SANDOY,"BLK 5 LOT 10","ILOILO CITY",1988-12-26,26,SINGLE,FEMALE,YES,jessmalmissandoy14@gmail.com,9694911585,RECEPTIONIST,FILIPINO,"SITIO ILAYA"
"DHERVIN KYLE",GEMOTO,TORDECILLA,"BLK 9 LOT 21","URDANETA CITY",1976-09-22,46,MARRIED,MALE,YES,dhervinkyle1976@gmail.com,9694911585,EMPLOYEE,FILIPINO,"SITIO ILAYA"
ALLEN,CASTRO,PULAO,289,"BACOOR CITY",1975-02-26,49,SINGLE,MALE,YES,allenjayveepula0@gmail.com,9694911585,EMPLOYEE,FILIPINO,"SITIO POOK"
LIAM,AGUADO,RAMOS,"BLK 48 LOT. 6","SORSOGON CITY",2007-09-11,17,SINGLE,MALE,YES,liamramos@gmail.com,9694911585,STUDENT,FILIPINO,RIDGEVIEW
"ELAINE VICTORIA",RECTO,CONCEPCION,"BLK. 16 LOT. 30","DASMARIÑAS CITY, CAVITE",2004-04-06,20,SINGLE,FEMALE,YES,vivivictoria04@gmail.com,9694911585,STUDENT,FILIPINO,RIDGEVIEW
MARIS,LOYOLA,SOLOMON,"BLK. 42 LOT. 17","CABANATUAN CITY",1953-09-14,71,WIDOWED,FEMALE,YES,solomonmaris@gmail.com,9694911585,HOUSEWIFE,FILIPINO,RIDGEVIEW
CHRISTINA,SANTOS,LOPEZ,"BLK. 29 LOT. 63","ORMOC CITY",1959-01-07,65,MARRIED,FEMALE,YES,jesslopez17@gmail.com,9694911585,HOUSEWIFE,FILIPINO,RIDGEVIEW
LUIS,HERNANDEZ,SANTOS,"BLK. 2 LOT 13","MALABON CITY",1992-04-19,32,SINGLE,MALE,YES,cl.martinez@gmail.com,9694911585,MANAGER,FILIPINO,RIDGEVIEW
JUAN,"DELA CRUZ",SANTOS,"BLK. 12 LOT. 5",CEBU,1992-10-05,31,SINGLE,MALE,YES,juan.santos@gmail.com,9694911585,ENGINEER,FILIPINO,"MABUHAY HOMES 2000"
MARIA,REYES,GONZALES,"BLK. 7 LOT. 20",DAVAO,1985-08-22,38,MARRIED,FEMALE,YES,maria.gonzales@gmail.com,9694911585,MANAGER,FILIPINO,"CAMELLA ISLAND PARK"
JOSE,DIZON,MERCADO,"BLK. 15 LOT. 3",MANILA,1995-12-30,28,SINGLE,MALE,YES,jose.mercado@gmail.com,9694911585,"IT SPECIALIST",FILIPINO,"MABUHAY HOMES 2000"
ANNA,PASCUAL,CRUZ,"BLK. 8 LOT 18",CAVITE,1998-02-15,26,SINGLE,FEMALE,YES,anna.cruz@gmail.com,9694911585,NURSE,FILIPINO,"CAMELLA ISLAND PARK"
MIGUEL,SANTOS,RIVERA,"BLK 2. LOT. 7",BATANGAS,1980-05-07,40,MARRIED,MALE,YES,miguel.rivera@gmail.com,9694911585,"BUSINESS MAN",FILIPINO,"MABUHAY HOMES 2000"
CARLA,DOMINGUEZ,LOPEZ,"BLK. 10 LOT. 12",PAMPANGA,1993-09-14,30,WIDOWED,FEMALE,YES,carla.lopez@gmail.com,9694911585,ACCOUNTANT,FILIPINO,"CAMELLA ISLAND PARK"
ROBERTO,VALDEZ,AQUINO,"BLK. 5 LOT. 23",ZAMBALES,1987-12-06,37,SEPARATED,MALE,YES,roberto.aquino@gmail.com,9694911585,"POLICE OFFICER",FILIPINO,"MABUHAY HOMES 2000"
KATRINA,"DEL ROSARIO",FAJARDO,"BLK. 3 LOT. 17",QUEZON,1990-09-11,33,SINGLE,FEMALE,YES,katrina.fajardo@gmail.com,9694911585,ARCHITECT,FILIPINO,"CAMELLA ISLAND PARK"
DANIEL,MENDOZA,HERRERA,"BLK. 6 LOT. 9",ILOCOS,1996-03-21,28,MARRIED,MALE,YES,danile.herrera@gmail.com,9694911585,CHEF,FILIPINO,"MABUHAY HOMES 2000"
SOPHIA,LIM,TORRES,"BLK. 4 LOT. 14",BAGUIO,1999-10-25,25,SINGLE,FEMALE,YES,sophia.torres@gmail.com,9694911585,ARTIST,FILIPINO,"CAMELLA ISLAND PARK"
VINCENT,RAMIREZ,SANTOS,"BLK. 9 LOT. 21",LAGUNA,1991-04-18,33,SINGLE,MALE,YES,vincent.santos@gmail.com,9694911585,"GRAPHIC DESIGNER",FILIPINO,"MABUHAY HOMES 2000"
ANGELA,FERNANDEZ,CRUZ,"BLK. 11 LOT. 9","QUEZON CITY",1989-07-30,35,MARRIED,FEMALE,YES,angela.cruz@gmail.com,9694911585,DOCTOR,FILIPINO,"CAMELLA ISLAND PARK"
MARCO,SORIANO,"DELA PAZ","BLK. 14 LOT. 6",DAVAO,1995-10-01,29,SINGLE,MALE,YES,marco.delapaz@gmail.com,9694911585,"CIVIL ENGINEER",FILIPINO,"MABUHAY HOMES 2000"
CAMILLE,BAUTISTA,REYES,"BLK. 18 LOT. 2",ILOILO,1994-06-22,30,SINGLE,FEMALE,YES,camille.reyes@gmail.com,9694911585,TEACHER,FILIPINO,"CAMELLA ISLAND PARK"
RICHARD,CRUZ,VELASCO,"BLK. 13 LOT. 10",CEBU,1982-02-14,42,MARRIED,MALE,YES,richard.velasco@gmail.com,9694911585,LAWYER,FILIPINO,"MABUHAY HOMES 2000"
JOANNA,VILLANUEVA,OCAMPO,"BLK. 17 LOT. 11",PAMPANGA,1996-05-05,28,SINGLE,FEMALE,YES,joanna.ocampo@gmail.com,9694911585,JOURNALIST,FILIPINO,"CAMELLA ISLAND PARK"
PATRICK,LOPEZ,MARQUEZ,"BLK. 20 LOT. 4",MANILA,1993-08-17,31,SINGLE,MALE,YES,patrick.marquez@gmail.com,9694911585,BANKER,FILIPINO,"MABUHAY HOMES 2000"
MELISSA,NAVARRO,SANTOS,"BLK. 15 LOT. 8",CAVITE,1990-08-11,34,MARRIED,FEMALE,YES,melissa.santos@gmail.com,9694911585,NURSE,FILIPINO,"CAMELLA ISLAND PARK"
ANTHONY,DELGADO,GUTIERREZ,"BLK. 7 LOT. 15",ZAMBOANGA,1988-12-09,36,WIDOWED,MALE,YES,anthony.gutierrez@gmail.com,9694911585,ENTREPRENEUR,FILIPINO,"MABUHAY HOMES 2000"
CHRISTINE,CASTRO,"DE VERA","BLK. 10 LOT. 16",BAGUIO,1997-12-20,27,SINGLE,FEMALE,YES,christine.devera@gmail.com,9694911585,"SOCIAL WORKER",FILIPINO,"CAMELLA ISLAND PARK"
KENNETH,AGULAR,RAMOS,"BLK. 8 LOT. 3",BATANGAS,1985-03-03,39,MARRIED,MALE,YES,kenneth.ramos@gmail.com,9694911585,"SOFTWARE ENGINEER",FILIPINO,"MABUHAY HOMES 2000"
LOUISE,MENDOZA,VILLANUEVA,"BLK. 5 LOT. 22",QUEZON,1992-02-10,32,SINGLE,FEMALE,YES,louise.villanueva@gmail.com,9694911585,PHARMACIST,FILIPINO,"CAMELLA ISLAND PARK"
RAYMOND,TAN,GO,"BLK. 6 LOT. 14",ILOILO,1990-05-29,34,MARRIED,MALE,YES,raymond.go@gmail.con,9694911585,"BUSINESS OWNER",FILIPINO,"MABUHAY HOMES 2000"
FELICIA,UY,SY,"BLK. 9 LOT. 19",CEBU,1986-11-07,38,SEPARATED,FEMALE,YES,felicia.sy@gmail.com,9694911585,"HR MANAGER",FILIPINO,"CAMELLA ISLAND PARK"
BENEDICT,CHUA,LIM,"BLK. 12 LOT. 1",DAVAO,1999-01-28,25,SINGLE,MALE,YES,bryan.lim@gmail.com,9694911585,"MECHANICAL ENGINEER",FILIPINO,"MABUHAY HOMES 2000"
ROSARIO,MALABANAN,SANTIAGO,"BLK. 19 LOT. 52",BULACAN,1983-04-30,42,MARRIED,FEMALE,YES,rosasantiago30@gmail.com,9694911585,HOUSEWIFE,FILIPINO,"CAMELLA ISLAND PARK"
