"Name Involved",Address,Date,Time,Vehicle,License,"Plate Number",Status,"Cause of Incident"
"Emily Lewis","567 Oak Blvd",2025-04-21,19:30:00,"Honda HR-V",JKL012,STU4567,Settled,"Tire blowout"
"Amos Wright","234 Cedar Rd",2025-04-21,18:45:00,"Chevrolet Cruze",DEF678,ABC2345,Active,"Lost control"
"Jackson Young","987 Pine Blvd",2025-04-20,17:00:00,"Volkswagen Golf",CDE567,PQR7890,Settled,"Running red light"
"Ella Taylor","321 Oak Dr",2025-04-20,16:30:00,"Mazda 6",LMN234,QWE1234,Active,"Crosswalk accident"
"Liam Garcia","654 Birch Ave",2025-04-19,15:15:00,"Audi Q5",JKL456,WXY7890,Settled,"Texting while driving"
"Logan Martinez","234 Maple Rd",2025-04-19,14:00:00,"Hyundai Tucson",DEF123,XYZ6789,Active,"Underage driver"
"Sofia Davis","876 Oak Blvd",2025-04-18,13:30:00,"BMW M3",CDE890,RST1234,Settled,"Improper lane change"
"Henry White","123 Birch Blvd",2025-04-18,12:45:00,"Toyota RAV4",LMN123,PQR4567,Active,"Accident on icy road"
"Madeline Clark","987 Cedar Rd",2025-04-17,11:30:00,"Chevrolet Suburban",DEF456,ABC2345,Settled,"Failure to stop at light"
"Jack Lewis","345 Oak Blvd",2025-04-17,10:15:00,"Ram 2500",GHI890,XYZ0123,Active,"Collided with bicycle"
"Abigail Harris","876 Pine St",2025-04-16,09:30:00,"Honda Pilot",JKL890,VWX7890,Settled,"No seatbelt"
"Avery Cooper","123 Willow Dr",2025-04-16,08:00:00,"Kia Soul",LMN678,STU2345,Active,"Reckless driving"
"Ethan Robinson","345 Pine Rd",2025-04-15,23:00:00,"Ford Escape",DEF345,WXY5678,Settled,"Speeding violation"
"Charlotte Perez","654 Maple Rd",2025-04-15,22:30:00,"Toyota Highlander",GHI234,PQR1234,Active,"Tailgate accident"
"Mason Mitchell","987 Birch Dr",2025-04-14,21:15:00,"BMW 5 Series",LMN123,QWE6789,Settled,"Collision with parked car"
"Harper Nelson","234 Cedar Ln",2025-04-14,20:00:00,"Chevrolet Traverse",DEF234,XYZ1234,Active,"Driving under the influence"
"Oliver Allen","567 Oak Rd",2025-04-13,19:30:00,"Honda Fit",JKL012,RST2345,Settled,"Failure to yield"
"Grace Adams","123 Birch Rd",2025-04-13,18:45:00,"Toyota Tacoma",GHI678,XYZ8901,Active,"Hit-and-run collision"
"Ryan King","234 Maple Blvd",2025-04-12,17:30:00,"Jeep Wrangler",CDE567,PQR2345,Settled,"Intersection accident"
"Megan Taylor","876 Cedar Ln",2025-04-12,16:00:00,"Hyundai Elantra",LMN890,STU3456,Active,"Aggressive driving"
"Ella Young","345 Pine Blvd",2025-04-11,15:45:00,"Mazda 3",JKL789,ABC2345,Settled,"Distracted driving"
"Lucas Perez","654 Elm Blvd",2025-04-11,14:30:00,"Ford Explorer",DEF678,XYZ7890,Active,"Road rage incident"
"Amelia Hill","987 Oak Dr",2025-04-10,13:00:00,"Volkswagen Jetta",JKL456,PQR1234,Settled,"Uninsured driver"
"Benjamin Walker","321 Birch Ave",2025-04-10,12:00:00,"Chevrolet Silverado",GHI345,MNO2345,Active,"Pedestrian injury"
"Chloe Lewis","123 Cedar Blvd",2025-04-09,11:15:00,"Honda Accord",DEF890,RST4567,Settled,"Flood-related accident"
"James Robinson","654 Oak Rd",2025-04-09,09:30:00,"Mazda CX-5",LMN567,QWE1234,Active,"Unlicensed driving"
"Lily Clark","876 Maple St",2025-04-08,08:00:00,"BMW X5",JKL345,ABC5678,Settled,Hit-and-run
"Daniel Harris","123 Pine St",2025-04-08,07:45:00,"Ram 1500",CDE234,VWX1234,Active,"Rearview mirror hit"
"Sophia Martinez","345 Willow Dr",2025-04-07,22:15:00,"Audi A4",JKL123,STU7890,Settled,"Mechanical failure"
"Elijah Garcia","678 Birch Blvd",2025-04-07,21:00:00,"Toyota Prius",GHI012,XYZ6789,Active,"Animal crossing road"
"Isabella Thompson","567 Cedar Rd",2025-04-06,20:30:00,"Chevrolet Camaro",DEF789,WXY4567,Settled,"Parking lot accident"
"Ava Martinez","234 Maple Ave",2025-04-06,19:00:00,"Ford Mustang",LMN456,TUV3456,Active,"Disobeying stop sign"
"Liam Adams","876 Oak St",2025-04-05,18:15:00,"Kia Optima",JKL234,XYZ2345,Settled,"Impaired driving"
"Mason Scott","654 Pine Ave",2025-04-05,17:00:00,"Subaru Outback",CDE123,STU2345,Active,"Weather-related accident"
"Olivia King","321 Willow Way",2025-04-04,16:30:00,"Hyundai Sonata",LMN789,PQR5678,Settled,"Driver distraction"
"Lucas Black","123 Birch Ln",2025-04-04,15:45:00,"Nissan Altima",XYZ345,MNO3456,Active,Tailgating
"Mary Johnson","987 Cedar Dr",2025-04-03,14:00:00,"BMW 3 Series",GHI012,JKL6789,Settled,"Traffic light violation"
"David Green","654 Elm St",2025-04-03,12:30:00,"Tesla Model 3",DEF789,OPQ5678,Active,Speeding
"Emily White","321 Maple Blvd",2025-04-02,11:00:00,"Chevrolet Malibu",JKL123,QWE4567,Settled,"Run off road"
"Jim Brown","789 Pine Rd",2025-04-02,10:15:00,"Ford F-150",LMN456,ABC9876,Active,"Pedestrian hit"
"Jane Smith","456 Oak Ave",2025-04-01,09:30:00,"Honda Civic",XYZ789,XYZ5678,Settled,Side-swipe
"John Doe","123 Main St",2025-04-01,08:00:00,"Toyota Corolla",ABC123,XYZ1234,Active,"Rear-end collision"
